"SYD51.DH2A1.04.IAQ.SILVER","","0 09 04","(CORROSION SILVER)"," -993",""," *A6ACKF*  NONE"
"SYD51.M2E1.CRH.SAT.SPT.I","","0 01 04","(SETPOINT        )","28.8","DEG C"," *F*       NONE"
"SYD51.M2E2.CRH.SAT.SPT.I","","0 01 04","(SETPOINT        )","28.9","DEG C"," *F*       NONE"
"SYD51.M2E3.CRH.SAT.SPT.I","","0 01 04","(SETPOINT        )","29.3","DEG C"," *F*       NONE"
"SYD51.M2E7.CRH.SAT.SPT.I","","0 01 04","(SETPOINT        )"," -0.8","DEG C"," *A3ACKF*  NONE"
"SYD51.M1.LEAK.GEN.ALM","","0 15 11","(LEAK DET GEN ALM)","NORMAL",""," *F*       NONE"
"SYD51.M1.LEAK.Z1.ALM","","0 15 01","(LEAK DET ZONE 1 )","NORMAL",""," *F*       NONE"
"SYD51.M1.LEAK.Z10.ALM","","0 15 10","(LEAK DET ZONE 10)","NORMAL",""," *F*       NONE"
"SYD51.M1.LEAK.Z2.ALM","","0 15 02","(LEAK DET ZONE 2 )","NORMAL",""," *F*       NONE"
"SYD51.M1.LEAK.Z3.ALM","","0 15 03","(LEAK DET ZONE 3 )","NORMAL",""," *F*       NONE"
"SYD51.M1.LEAK.Z4.ALM","","0 15 04","(LEAK DET ZONE 4 )","NORMAL",""," *F*       NONE"
"SYD51.M1.LEAK.Z5.ALM","","0 15 05","(LEAK DET ZONE 5 )","NORMAL",""," *F*       NONE"
"SYD51.M1.LEAK.Z6.ALM","","0 15 06","(LEAK DET ZONE 6 )","NORMAL",""," *F*       NONE"
"SYD51.M1.LEAK.Z7.ALM","","0 15 07","(LEAK DET ZONE 7 )","NORMAL",""," *F*       NONE"
"SYD51.M1.LEAK.Z8.ALM","","0 15 08","(LEAK DET ZONE 8 )","NORMAL",""," *F*       NONE"
"SYD51.M1.LEAK.Z9.ALM","","0 15 09","(LEAK DET ZONE 9 )","NORMAL",""," *F*       NONE"
" ****************************************************************************************************"
" ****************************************** End of Report *******************************************"
